Question,Labels,Annotation Type
"أحاول منذ 4 سنوات أو أكثر العمل على ذاتي ولكني توقفت تماما عن فعل أى شىء أحبه ولا أرغب في شىء سوى الموت أو الهروب فقط.لا أستطيع تذكر المعلومات، أرق متواصل خلال النوم/ أحلام مزعجة, تقليل في بعض الأحيان من ذاتي، البكاء، خسارة الأصدقاء والأهل والعمل والأهداف، التوتر من أى كلمة،الإنعزال،عدم تنسيق الكلام",['Social|Relationship'],Human Annotators
أحس بشي ما تحت الفك السفلي في الوسط قريب للبلعم شيئ ما يزعجني خصوصا عندما استلقي علي السرير و معي الهاتف. دهبت عند الطبيب فحصني ب ecographe قالي لي القلق و التفكير بيعمل متل خصة او حتا الجلوس الغير الصحيح اعطاني دواء اسمه cotipred و لاكن مازلت منزعج هل الطبيب لم يفحصني جيدا لاني ما زالت تزعجني,['No'],Human Annotators
أحس بفقدان التركيز كأنني أنسى معلومة أخبرتني بها في مدة قصيرة إن لم أركز في إلتقاطها والإحتفاظ بها بسبب أنشطتي الكثيرة أحس بالنوم وقت العمل إن سهرت كثيرا وتعبت في اليوم السابق أحس بالضغط والغضب بسرعة إن سمعت شجار أو نقاش حاد داخل الأسرة أو أحبطني شخص ما في إنجاز شيئ خططت له وقررت القيام به,['No'],Human Annotators
أختي تعاني من صعوبة في النوم وإرهاق وسهر فضيع مع تعب مصاحب لها الحالة بدت معها من قبل اليوم الوطني بثلاث ايام واستمرت معها للحين تقول ماتقدر تنام ماعرفنا كيف نسادعها,['No'],Human Annotators
أختي طالبة بكالويا عمرها 18سنة تعاني من حلة نفسية لم تكن قادرة على المراجعة بعد بسب ارتعاش (طفطيف)في القلب والخوف من الموت والاختناق مع العلم أنها تنام 4ساعة في اليوم وتسهرليل,['No'],Human Annotators
أرق سهر بدون رغبة .,['No'],Human Annotators
أريد الخضوع لجلسات ECT فهل هي علاج فعال فعلا وما الاضرار المحتمله؟,['No'],Human Annotators
أشعر احياناً بشعور فائق بالسعادة او الفرح بدون سبب يذكر و هو شعور جميل جداً ولكن لايستمر الا لدقائق او ساعات يعني مدة قصيرة و احيانا اشعر بحزن واكتئاب ولم أجد تشخيص مناسب لحالتي فليست مطابقة لثنائي القطب حيث ان الهوس لا يستمر ؟ و الاكتئاب متقطع . وليست مطابقة للشخصية الحدية ايضاً..,['No'],Human Annotators
أشعر دائماً بالحزن بسبب شخص ما وفي بعض الأوقات أشعر بسرعه في ضربات القلب وكثيرا ماتؤلمني رقبتي وذراعي,['No'],Human Annotators
أعاني من أرق وعدم النوم حتى وان كنت متعب او بحاجة النوم لا استطيع النوم الا بعد ساعات من التمدد بدأت بتناوب حبتين من دواء اسمه songha night قبل النوم ولكن لا استجابة ما الحل؟,['No'],Human Annotators
أعاني من أفكار تقول لي أنت لا تتصرفين على طبيعتك أنت متصنعة حاولت التخلص من هذه المشكلة لكن لا جدوى حتى عندما أكون لوحدي. وأيضا اهتمامي بالآخرين كبير مثلا عندما أقوم لفعل شيء أمام الناس أفكر ما رأيهم فيني كيف أبدو لهم . أريد التخلص من هذه المشكلة مع العلم هذه المشكلة لم تكن في لم ألاحظ حتى بدأت في.,"['Culture|Norms and Morals', 'Culture|Values']",Human Annotators
أعاني من اضطراب نفسي وعصبي شديد بسبب علاقة صداقة تطورت إلي علاقة عاطفية وانتهت بهجر من الطرف الآخر بشكل سبب لي ألم وأذي نفسي شديد لأسباب كثيرة أدي إلي تدهور أموري كاملة سواء الحياتية أو الدينية خلاف القهر والظلم الذي تعرضت له من كل الأطراف,"['Religion', 'Social|Relationship']",Human Annotators
أعاني من الارق منذ شهر تقريبا وذلك منذ بداية الحظر حيث اني لا انام الا ساعتين او ثلاث كل 24س واستيقظ وقد شبعت من النوم فمالسبب وكيف استطيع علاجه؟,['No'],Human Annotators
